Interrupt registers
NVIC->ISER	 e000e100: 00000242
NVIC->ICER	 e000e180: 00000242
NVIC->ISPR	 e000e200: 00000001
NVIC->ICPR	 e000e280: 00000001
NVIC->IP[0]	 e000e400: 00c00000
NVIC->IP[1]	 e000e404: 00c00000
NVIC->IP[2]	 e000e408: 0000c000
NVIC->IP[3]	 e000e40c: 00000000
NVIC->IP[4]	 e000e410: 0000c000
NVIC->IP[5]	 e000e414: 00c0c0c0
NVIC->IP[6]	 e000e418: 00000000
NVIC->IP[7]	 e000e41c: 00000000
SCB->CPUID	 e000ed00: 410cc200
SCB->ICSR	 e000ed04: 00400000
SCB->AIRCR	 e000ed0c: fa050000
SCB->SCR	 e000ed10: 00000000
SCB->CCR	 e000ed14: 00000208
SCB->SHP[1]	 e000ed20: 00000000
SCB->SHCSR	 e000ed24: 00000000
NRF_POWER->INTENCLR	 40000308: 00000000
NRF_CLOCK->INTENCLR	 40000308: 00000000
NRF_RADIO->INTENCLR	 40001308: 00000008
NRF_UART0->INTENCLR	 40002308: 00000000
NRF_SPI0->INTENCLR	 40003308: 00000000
NRF_TWI0->INTENCLR	 40003308: 00000000
NRF_SPI1->INTENCLR	 40004308: 00000000
NRF_TWI1->INTENCLR	 40004308: 00000000
NRF_SPIS1->INTENCLR	 40004308: 00000000
NRF_SPIM1->INTENCLR	 40004308: 00000000
NRF_GPIOTE->INTENCLR	 40006308: 80000000
NRF_ADC->INTENCLR	 40007308: 00000000
NRF_TIMER0->INTENCLR	 40008308: 00000000
NRF_TIMER1->INTENCLR	 40009308: 00090000
NRF_TIMER2->INTENCLR	 4000a308: 00000000
NRF_RTC0->INTENCLR	 4000b308: 00000000
NRF_TEMP->INTENCLR	 4000c308: 00000000
NRF_RNG->INTENCLR	 4000d308: 00000000
NRF_ECB->INTENCLR	 4000e308: 00000000
NRF_AAR->INTENCLR	 4000f308: 00000000
NRF_CCM->INTENCLR	 4000f308: 00000000
NRF_WDT->INTENCLR	 40010308: 00000000
NRF_RTC1->INTENCLR	 40011308: 00000000
NRF_QDEC->INTENCLR	 40012308: 00000000
NRF_LPCOMP->INTENCLR	 40013308: 00000000

Clock registers
NRF_CLOCK->TASKS_HFCLKSTART      40000000: 00000000
NRF_CLOCK->TASKS_HFCLKSTOP       40000004: 00000000
NRF_CLOCK->TASKS_LFCLKSTART      40000008: 00000000
NRF_CLOCK->TASKS_LFCLKSTOP       4000000c: 00000000
NRF_CLOCK->TASKS_CAL             40000010: 00000000
NRF_CLOCK->TASKS_CTSTART         40000014: 00000000
NRF_CLOCK->TASKS_CTSTOP          40000018: 00000000
NRF_CLOCK->EVENTS_HFCLKSTARTED   40000100: 00000001
NRF_CLOCK->EVENTS_LFCLKSTARTED   40000104: 00000001
